策略,日期,计划购电量_kWh,调整后购电量_kWh,上调量_kWh,下调量_kWh,紧急购电量_kWh,剩余电量_kWh,计划购电费_元,调整成本_元,紧急购电费_元,总成本_元
问题3_固定价_八时点代理,2025-01-01,78144.93599102228,93804.74459029498,15659.808599272706,0.0,4783.488846606994,1769.7172679795754,48113.5096635349,18361.424772108487,17219.54159349977,83694.47602914316
问题3_固定价_八时点代理,2025-01-02,98813.28890679011,97501.63582460824,1148.816920679988,2460.4700028618713,1937.2615925585167,1763.1771558861979,63517.5186966125,370.70553468786926,6785.497292057557,70673.72152335792
问题3_固定价_八时点代理,2025-01-03,96117.00270977365,60030.727062184815,0.0,36086.27564758884,2801.661917975261,13706.544887464508,61652.263123188415,-13841.29085544845,14794.77963388207,62605.75190162204
问题3_固定价_八时点代理,2025-01-04,92794.88484999999,59473.98921763382,0.0,33320.89563236618,3138.664779908744,14212.089808417157,59227.96342613472,-12735.842328196517,16839.258551952327,63331.37964989053
问题3_固定价_八时点代理,2025-01-05,71824.92102465706,90229.79395921588,18404.872934558818,0.0,7476.1811486057095,1972.991380621774,42463.35167794368,22533.561088133483,29629.62468819712,94626.5374542743
问题3_固定价_八时点代理,2025-01-06,93714.94415,95404.38381065344,1928.517282866224,239.0776222127746,1603.8795049103326,1612.6710431968497,59829.8954522436,2199.687412401329,5618.114466743453,67647.6973313884
问题3_固定价_八时点代理,2025-01-07,92206.87997746913,97556.27141077939,5349.391433310257,0.0,1593.6752404356657,1724.380780097494,58594.39390314416,5920.910655896244,5625.4313670557,70140.73592609611
问题3_固定价_八时点代理,2025-01-08,100256.77448333333,94234.19068418459,226.87392059250078,6249.457719741236,1698.7373466863132,1688.8480440760823,64444.06802144472,-1991.7426716546984,5921.31738863116,68373.64273842119
问题3_固定价_八时点代理,2025-01-09,93626.00512129629,95221.72309968086,1837.868951860796,242.1509734762244,2214.610126706952,1522.3793672543627,59648.462460191935,2048.864361278733,7435.639593316359,69132.96641478704
问题3_固定价_八时点代理,2025-01-10,99705.33541886145,58969.56913181275,0.0,40735.7662870487,3096.410940331975,12971.851088620959,64351.99013107355,-15564.8255785108,16149.643967035057,64936.808519597806
问题3_固定价_八时点代理,2025-01-11,93137.77426358024,57902.56524263773,0.0,35235.209020942515,3573.8689642975382,13001.883041507846,59409.804955085274,-13373.66904117109,18354.96508948913,64391.10100340331
