策略,日期,计划购电量_kWh,调整后购电量_kWh,上调量_kWh,下调量_kWh,紧急购电量_kWh,剩余电量_kWh,计划购电费_元,调整成本_元,紧急购电费_元,总成本_元
问题2_固定价,2025-01-01,59482.69899835391,59482.69899835391,0.0,0.0,36514.41488333333,21.217300000000023,35126.948589289634,0.0,146586.90245181666,181713.85104110627
问题2_固定价,2025-01-02,96753.50334999998,96753.50334999998,0.0,0.0,2483.2580333333335,1633.1887833333317,61781.39773861999,0.0,9532.153857958338,71313.55159657833
问题2_固定价,2025-01-03,98619.97145999999,98619.97145999999,0.0,0.0,0.0,48396.69676,63232.679862232995,0.0,0.0,63232.679862232995
问题2_固定价,2025-01-04,98004.51399333333,98004.51399333333,0.0,0.0,34.972000000000094,48555.550293333334,62821.475280112,0.0,74.77013600000019,62896.245416112
问题2_固定价,2025-01-05,97354.01020666666,97354.01020666666,0.0,0.0,1229.3539633333323,2829.320536666668,62348.99382232166,0.0,4559.542472879995,66908.53629520166
问题2_固定价,2025-01-06,98172.78473666665,98172.78473666665,0.0,0.0,757.8362599999996,3579.8065633333326,62965.730267545,0.0,3028.8215083366663,65994.55177588166
问题2_固定价,2025-01-07,98432.29296666666,98432.29296666666,0.0,0.0,1301.057266666667,2448.1159499999994,63163.87445622666,0.0,4838.583651258334,68002.458107485
问题2_固定价,2025-01-08,98849.30433423868,98849.30433423868,0.0,0.0,679.9091699999996,5278.490523333332,63468.41530601542,0.0,2240.321182218332,65708.73648823376
问题2_固定价,2025-01-09,98876.26993662551,98876.26993662551,0.0,0.0,659.252509999999,3724.8510066666654,63464.945333494325,0.0,2032.331162354997,65497.27649584932
问题2_固定价,2025-01-10,99140.03475600823,99140.03475600823,0.0,0.0,0.0,48924.12666333333,63640.10882652526,0.0,0.0,63640.10882652526
问题2_固定价,2025-01-11,98941.74066851851,98941.74066851851,0.0,0.0,4.073999999999955,49345.42568333333,63505.769638460515,0.0,8.710211999999904,63514.47985046051
问题2_固定价,2025-01-12,98708.41511049382,98708.41511049382,0.0,0.0,434.4146500000009,3539.613316666668,63345.34583034771,0.0,1392.0199145583358,64737.36574490605
问题2_固定价,2025-01-13,98735.89710917695,98735.89710917695,0.0,0.0,400.972923333333,6129.6875199999995,63348.71430799825,0.0,1183.0721481699989,64531.78645616824
问题2_固定价,2025-01-14,98667.84399119341,98667.84399119341,0.0,0.0,457.99217000000067,5116.400179999999,63303.28247649345,0.0,1392.2384800833352,64695.52095657679
问题2_固定价,2025-01-15,98655.48356358024,98655.48356358024,0.0,0.0,387.2580933333336,4243.990719999998,63286.76376307735,0.0,1738.1450970183341,65024.90886009569
问题2_固定价,2025-01-16,98713.81482320986,98713.81482320986,0.0,0.0,579.5568666666674,5488.4512399999985,63365.846119079644,0.0,2375.6772555483362,65741.52337462798
问题2_固定价,2025-01-17,98725.7587148148,98725.7587148148,0.0,0.0,0.0,51308.947799999994,63392.93902165647,0.0,0.0,63392.93902165647
问题2_固定价,2025-01-18,98513.48133279834,98513.48133279834,0.0,0.0,27.15599999999995,50573.37521666666,63235.38574118894,0.0,58.05952799999989,63293.44526918894
问题2_固定价,2025-01-19,98303.80850411522,98303.80850411522,0.0,0.0,221.06625999999994,5119.926546666666,63078.997545749735,0.0,932.2229857299998,64011.22053147974
问题2_固定价,2025-01-20,98269.94741716048,98269.94741716048,0.0,0.0,248.75444666666704,5732.474379999999,63064.452667732716,0.0,949.6427439783342,64014.095411711045
问题2_固定价,2025-01-21,98221.24965,98221.24965,0.0,0.0,301.32523,10328.336863333332,63035.347012936996,0.0,947.2953564983334,63982.64236943533
问题2_固定价,2025-01-22,98091.34502,98091.34502,0.0,0.0,422.77699000000075,4897.024310000002,62931.781548371335,0.0,1521.6734915816692,64453.455039953005
